id,group,stage,ecv
SH2,1,adult,1333
SH4,1,adult,1360
SH5,1,adult,1092
SH7,1,adult,1143
SH8,1,adult,1313
SH10,1,adult,1218
SH13,1,adult,1436
SH15,1,adult,1283
SH16,1,adult,1236
SH17,1,adult,1218
SH3,1,juv,1230
SH6,1,juv,1225
SH9,1,juv,1201
SH11,1,juv,1057
SH12,1,juv,1227
SH14,1,juv,1224
Krapina 3,2,adult,1272
Krapina 5,2,adult,1397
Krapina 6,2,adult,1158
Saccopastore1,2,adult,1096
Saccopastore2,2,adult,1300
Reilingen,2,adult,1430
Biache,2,adult,1344
Apidima2,2,adult,1290
Fontechevade2,2,adult,1350
LaChaise,2,adult,1065
Krapina 1,2,juv,1419
Krapina 2,2,juv,1286
Lazaret,2,juv,1250
Amud 1,3,adult,1747
Gibraltar I (Forbes’ Quarry I),3,adult,1213
La Chapelle-aux-Saints,3,adult,1490
La Ferrassie I,3,adult,1643
Monte Cicero I (aka Guattari),3,adult,1421
Neanderthal (Feldhofer),3,adult,1261
Spy I,3,adult,1287
Spy II,3,adult,1531
human1,4,adult,1110.901
human2,4,adult,1349.066
human3,4,adult,1319.387
human4,4,adult,1287.654
human5,4,adult,1478.992
human6,4,adult,1262.059
human7,4,adult,1381.318
human8,4,adult,1257.901
human9,4,adult,1046.165
human10,4,adult,1118.896
human11,4,adult,1247.006
human12,4,adult,1271.893
human13,4,adult,1304.52
human14,4,adult,1244.143
human15,4,adult,1336.718
human16,4,adult,1076.006
human17,4,adult,1326.208
human18,4,adult,1206.003
human19,4,adult,1240.778
human20,4,adult,1339.659
human21,4,adult,1208.526
human22,4,adult,1303.844
human23,4,adult,1267.324
human24,4,adult,1248.819
human25,4,adult,1102.401
human26,4,adult,1080.395
human27,4,adult,1196.892
human28,4,adult,1180.867
human29,4,adult,1381.18
human30,4,adult,1200.776
human31,4,adult,1392.057
human32,5,adult,1427.916
human33,5,adult,1645.032
human34,5,adult,1502.609
human35,5,adult,1622.61
human36,5,adult,1414.609
human37,5,adult,1608.248
human38,5,adult,1310.863
human39,5,adult,1337.778
human40,5,adult,1419.087
human41,5,adult,1260.317
human42,5,adult,1441.604
human43,5,adult,1504.84
human44,5,adult,1566.404
human45,5,adult,1525.963
human46,5,adult,1299.506
human47,5,adult,1493.724
human48,5,adult,1458.565
human49,5,adult,1618.072
human50,5,adult,1226.475
human51,5,adult,1650.372
human52,5,adult,1396.647
human53,5,adult,1406.331
human54,5,adult,1283.671
human55,5,adult,1470.243
human56,5,adult,1514.907
human57,5,adult,1391.652
human58,5,adult,1238.85
human59,5,adult,1427.103
human60,5,adult,1461.266
human61,5,adult,1232.115
human62,5,adult,1724.017
human63,5,adult,1495.096
human64,5,adult,1215.235
human65,5,adult,1420.508
human66,5,adult,1514.037
human67,5,adult,1366.025
human68,5,adult,1527.499
human69,5,adult,1373.282
human70,5,adult,1526.85
human71,5,adult,1379.61
human72,5,adult,1093.98
human73,5,adult,1417.338
human74,5,adult,1282.806
human75,5,adult,1466.181
human76,5,adult,1351.193
human77,5,adult,1369.694
human78,5,adult,1582.407
human79,5,adult,1465.102
human80,5,adult,1264.013
human81,5,adult,1470.416
human82,5,adult,1383.704
human83,5,adult,1400.159
human84,5,adult,1513.798
human85,5,adult,1334.795
human86,5,adult,1325.233
human87,5,adult,1713.203
human88,5,adult,1356.715
human89,5,adult,1435.683
human90,5,adult,1431.221
human91,5,adult,1493.583
human92,5,adult,1581.495
human93,5,adult,1405.834
